Data record time: 2024-03-01 04:00:00,Measured electricty: 0.06,RPP: RPP-A-1-1,Breaker: 17/19
Data record time: 2024-03-01 04:30:00,Measured electricty: 0.06,RPP: RPP-A-1-1,Breaker: 17/19
Data record time: 2024-03-01 05:00:00,Measured electricty: 0.06,RPP: RPP-A-1-1,Breaker: 17/19
Data record time: 2024-03-01 05:30:00,Measured electricty: 0.06,RPP: RPP-A-1-1,Breaker: 17/19
Data record time: 2024-03-01 06:00:00,Measured electricty: 0.06,RPP: RPP-A-1-1,Breaker: 17/19
Data record time: 2024-03-01 01:00:00,Measured electricty: 1,RPP: RPP-A-1-1,Breaker: 18/20
Data record time: 2024-03-01 01:30:00,Measured electricty: 1.03,RPP: RPP-A-1-1,Breaker: 18/20
Data record time: 2024-03-01 02:00:00,Measured electricty: 1,RPP: RPP-A-1-1,Breaker: 18/20
Data record time: 2024-03-01 02:30:00,Measured electricty: 1.01,RPP: RPP-A-1-1,Breaker: 18/20
Data record time: 2024-03-01 03:00:00,Measured electricty: 1.02,RPP: RPP-A-1-1,Breaker: 18/20
Data record time: 2024-03-01 03:30:00,Measured electricty: 1.02,RPP: RPP-A-1-1,Breaker: 18/20
Data record time: 2024-03-01 04:00:00,Measured electricty: 1.01,RPP: RPP-A-1-1,Breaker: 18/20
Data record time: 2024-03-01 04:30:00,Measured electricty: 1.02,RPP: RPP-A-1-1,Breaker: 18/20
Data record time: 2024-03-01 05:00:00,Measured electricty: 1.01,RPP: RPP-A-1-1,Breaker: 18/20
Data record time: 2024-03-01 05:30:00,Measured electricty: 1.01,RPP: RPP-A-1-1,Breaker: 18/20
Data record time: 2024-03-01 06:00:00,Measured electricty: 1.02,RPP: RPP-A-1-1,Breaker: 18/20
Data record time: 2024-03-01 01:00:00,Measured electricty: 14.31,RPP: RPP-A-1-1,Breaker: 2/4
Data record time: 2024-03-01 01:30:00,Measured electricty: 14.12,RPP: RPP-A-1-1,Breaker: 2/4
Data record time: 2024-03-01 02:00:00,Measured electricty: 14.71,RPP: RPP-A-1-1,Breaker: 2/4
Data record time: 2024-03-01 02:30:00,Measured electricty: 14.34,RPP: RPP-A-1-1,Breaker: 2/4
Data record time: 2024-03-01 03:00:00,Measured electricty: 14,RPP: RPP-A-1-1,Breaker: 2/4
Data record time: 2024-03-01 03:30:00,Measured electricty: 14.43,RPP: RPP-A-1-1,Breaker: 2/4
Data record time: 2024-03-01 04:00:00,Measured electricty: 14.28,RPP: RPP-A-1-1,Breaker: 2/4
Data record time: 2024-03-01 04:30:00,Measured electricty: 14.02,RPP: RPP-A-1-1,Breaker: 2/4
Data record time: 2024-03-01 05:00:00,Measured electricty: 13.63,RPP: RPP-A-1-1,Breaker: 2/4
Data record time: 2024-03-01 05:30:00,Measured electricty: 13.77,RPP: RPP-A-1-1,Breaker: 2/4
Data record time: 2024-03-01 06:00:00,Measured electricty: 13.22,RPP: RPP-A-1-1,Breaker: 2/4
Data record time: 2024-03-01 01:00:00,Measured electricty: 1.13,RPP: RPP-A-1-1,Breaker: 21/23
Data record time: 2024-03-01 01:30:00,Measured electricty: 1.12,RPP: RPP-A-1-1,Breaker: 21/23
Data record time: 2024-03-01 02:00:00,Measured electricty: 1.14,RPP: RPP-A-1-1,Breaker: 21/23
Data record time: 2024-03-01 02:30:00,Measured electricty: 1.11,RPP: RPP-A-1-1,Breaker: 21/23
Data record time: 2024-03-01 03:00:00,Measured electricty: 1.14,RPP: RPP-A-1-1,Breaker: 21/23
Data record time: 2024-03-01 03:30:00,Measured electricty: 0,RPP: RPP-A-1-1,Breaker: 21/23
Data record time: 2024-03-01 04:00:00,Measured electricty: 1.13,RPP: RPP-A-1-1,Breaker: 21/23
Data record time: 2024-03-01 04:30:00,Measured electricty: 1.12,RPP: RPP-A-1-1,Breaker: 21/23
Data record time: 2024-03-01 05:00:00,Measured electricty: 1.14,RPP: RPP-A-1-1,Breaker: 21/23
Data record time: 2024-03-01 05:30:00,Measured electricty: 1.12,RPP: RPP-A-1-1,Breaker: 21/23
Data record time: 2024-03-01 06:00:00,Measured electricty: 1.13,RPP: RPP-A-1-1,Breaker: 21/23
Data record time: 2024-03-01 01:00:00,Measured electricty: 0.07,RPP: RPP-A-1-1,Breaker: 22/24
Data record time: 2024-03-01 01:30:00,Measured electricty: 0.07,RPP: RPP-A-1-1,Breaker: 22/24
Data record time: 2024-03-01 02:00:00,Measured electricty: 0.07,RPP: RPP-A-1-1,Breaker: 22/24
Data record time: 2024-03-01 02:30:00,Measured electricty: 0.07,RPP: RPP-A-1-1,Breaker: 22/24
Data record time: 2024-03-01 03:00:00,Measured electricty: 1.14,RPP: RPP-A-1-1,Breaker: 22/24
Data record time: 2024-03-01 03:30:00,Measured electricty: 1.13,RPP: RPP-A-1-1,Breaker: 22/24
Data record time: 2024-03-01 04:00:00,Measured electricty: 0.07,RPP: RPP-A-1-1,Breaker: 22/24
Data record time: 2024-03-01 04:30:00,Measured electricty: 0.07,RPP: RPP-A-1-1,Breaker: 22/24
Data record time: 2024-03-01 05:00:00,Measured electricty: 0.07,RPP: RPP-A-1-1,Breaker: 22/24
Data record time: 2024-03-01 05:30:00,Measured electricty: 0.07,RPP: RPP-A-1-1,Breaker: 22/24
Data record time: 2024-03-01 06:00:00,Measured electricty: 0.07,RPP: RPP-A-1-1,Breaker: 22/24
Data record time: 2024-03-01 01:00:00,Measured electricty: 0,RPP: RPP-A-1-1,Breaker: 25/27
Data record time: 2024-03-01 01:30:00,Measured electricty: 0,RPP: RPP-A-1-1,Breaker: 25/27
Data record time: 2024-03-01 02:00:00,Measured electricty: 0,RPP: RPP-A-1-1,Breaker: 25/27
Data record time: 2024-03-01 02:30:00,Measured electricty: 0,RPP: RPP-A-1-1,Breaker: 25/27
Data record time: 2024-03-01 03:00:00,Measured electricty: 0,RPP: RPP-A-1-1,Breaker: 25/27
Data record time: 2024-03-01 03:30:00,Measured electricty: 0,RPP: RPP-A-1-1,Breaker: 25/27
Data record time: 2024-03-01 04:00:00,Measured electricty: 0,RPP: RPP-A-1-1,Breaker: 25/27
Data record time: 2024-03-01 04:30:00,Measured electricty: 0,RPP: RPP-A-1-1,Breaker: 25/27
Data record time: 2024-03-01 05:00:00,Measured electricty: 0,RPP: RPP-A-1-1,Breaker: 25/27
Data record time: 2024-03-01 05:30:00,Measured electricty: 0,RPP: RPP-A-1-1,Breaker: 25/27
Data record time: 2024-03-01 06:00:00,Measured electricty: 0,RPP: RPP-A-1-1,Breaker: 25/27
Data record time: 2024-03-01 01:00:00,Measured electricty: 0,RPP: RPP-A-1-1,Breaker: 26/28
Data record time: 2024-03-01 01:30:00,Measured electricty: 0,RPP: RPP-A-1-1,Breaker: 26/28
Data record time: 2024-03-01 02:00:00,Measured electricty: 0,RPP: RPP-A-1-1,Breaker: 26/28
